GO:0019637, GO:0042391, GO:0010035
GO:0019637, GO:0042391, GO:0010033
GO:0019637, GO:0042391, GO:0051649
GO:0019637, GO:0045165, GO:0010035
GO:0019637, GO:0045165, GO:0010033
GO:0019637, GO:0045165, GO:0051649
GO:0019637, GO:0030154, GO:0010035
GO:0019637, GO:0030154, GO:0010033
GO:0019637, GO:0030154, GO:0051649
GO:0019637, GO:0010035, GO:0051649
GO:0019637, GO:0010033, GO:0051649
GO:0006790, GO:0033554, GO:0050793
GO:0006790, GO:0033554, GO:0006810
GO:0006790, GO:0033554, GO:2000241
GO:0006790, GO:0033554, GO:0042391
GO:0006790, GO:0033554, GO:0045165
GO:0006790, GO:0033554, GO:0030154
GO:0006790, GO:0033554, GO:0010035
GO:0006790, GO:0033554, GO:0010033
GO:0006790, GO:0033554, GO:0051649
GO:0006790, GO:0050793, GO:0006810
GO:0006790, GO:0050793, GO:0042391
GO:0006790, GO:0050793, GO:0045165
GO:0006790, GO:0050793, GO:0030154
GO:0006790, GO:0050793, GO:0010035
GO:0006790, GO:0050793, GO:0010033
GO:0006790, GO:0050793, GO:0051649
GO:0006790, GO:0006810, GO:2000241
GO:0006790, GO:0006810, GO:0042391
GO:0006790, GO:0006810, GO:0045165
GO:0006790, GO:0006810, GO:0030154
GO:0006790, GO:0006810, GO:0010035
GO:0006790, GO:0006810, GO:0010033
GO:0006790, GO:2000241, GO:0042391
GO:0006790, GO:2000241, GO:0045165
GO:0006790, GO:2000241, GO:0030154
GO:0006790, GO:2000241, GO:0010035
GO:0006790, GO:2000241, GO:0010033
GO:0006790, GO:2000241, GO:0051649
GO:0006790, GO:0042391, GO:0045165
GO:0006790, GO:0042391, GO:0030154
GO:0006790, GO:0042391, GO:0010035
GO:0006790, GO:0042391, GO:0010033
GO:0006790, GO:0042391, GO:0051649
GO:0006790, GO:0045165, GO:0010035
GO:0006790, GO:0045165, GO:0010033
GO:0006790, GO:0045165, GO:0051649
GO:0006790, GO:0030154, GO:0010035
GO:0006790, GO:0030154, GO:0010033
GO:0006790, GO:0030154, GO:0051649
GO:0006790, GO:0010035, GO:0051649
GO:0006790, GO:0010033, GO:0051649
GO:0033554, GO:0050793, GO:0006810
GO:0033554, GO:0050793, GO:0042391
GO:0033554, GO:0050793, GO:0045165
GO:0033554, GO:0050793, GO:0030154
GO:0033554, GO:0050793, GO:0010035
GO:0033554, GO:0050793, GO:0010033
GO:0033554, GO:0050793, GO:0051649
GO:0033554, GO:0006810, GO:2000241
GO:0033554, GO:0006810, GO:0042391
GO:0033554, GO:0006810, GO:0045165
GO:0033554, GO:0006810, GO:0030154
GO:0033554, GO:0006810, GO:0010035
GO:0033554, GO:0006810, GO:0010033
GO:0033554, GO:2000241, GO:0042391
GO:0033554, GO:2000241, GO:0045165
GO:0033554, GO:2000241, GO:0030154
GO:0033554, GO:2000241, GO:0010035
GO:0033554, GO:2000241, GO:0010033
GO:0033554, GO:2000241, GO:0051649
GO:0033554, GO:0042391, GO:0045165
GO:0033554, GO:0042391, GO:0030154
GO:0033554, GO:0042391, GO:0010035
GO:0033554, GO:0042391, GO:0010033
GO:0033554, GO:0042391, GO:0051649
GO:0033554, GO:0045165, GO:0010035
GO:0033554, GO:0045165, GO:0010033
GO:0033554, GO:0045165, GO:0051649
GO:0033554, GO:0030154, GO:0010035
GO:0033554, GO:0030154, GO:0010033
GO:0033554, GO:0030154, GO:0051649
GO:0033554, GO:0010035, GO:0051649
GO:0033554, GO:0010033, GO:0051649
GO:0050793, GO:0006810, GO:0042391
GO:0050793, GO:0006810, GO:0045165
GO:0050793, GO:0006810, GO:0030154
GO:0050793, GO:0006810, GO:0010035
GO:0050793, GO:0006810, GO:0010033
GO:0050793, GO:0042391, GO:0045165
GO:0050793, GO:0042391, GO:0030154
GO:0050793, GO:0042391, GO:0010035
GO:0050793, GO:0042391, GO:0010033
GO:0050793, GO:0042391, GO:0051649
GO:0050793, GO:0045165, GO:0010035
GO:0050793, GO:0045165, GO:0010033
GO:0050793, GO:0045165, GO:0051649
GO:0050793, GO:0030154, GO:0010035
GO:0050793, GO:0030154, GO:0010033
GO:0050793, GO:0030154, GO:0051649
GO:0050793, GO:0010035, GO:0051649
GO:0050793, GO:0010033, GO:0051649
GO:0006810, GO:2000241, GO:0042391
GO:0006810, GO:2000241, GO:0045165
GO:0006810, GO:2000241, GO:0030154
GO:0006810, GO:2000241, GO:0010035
GO:0006810, GO:2000241, GO:0010033
GO:0006810, GO:0042391, GO:0045165
GO:0006810, GO:0042391, GO:0030154
GO:0006810, GO:0042391, GO:0010035
GO:0006810, GO:0042391, GO:0010033
GO:0006810, GO:0045165, GO:0010035
GO:0006810, GO:0045165, GO:0010033
GO:0006810, GO:0030154, GO:0010035
GO:0006810, GO:0030154, GO:0010033
GO:2000241, GO:0042391, GO:0045165
GO:2000241, GO:0042391, GO:0030154
GO:2000241, GO:0042391, GO:0010035
GO:2000241, GO:0042391, GO:0010033
GO:2000241, GO:0042391, GO:0051649
GO:2000241, GO:0045165, GO:0010035
GO:2000241, GO:0045165, GO:0010033
GO:2000241, GO:0045165, GO:0051649
GO:2000241, GO:0030154, GO:0010035
GO:2000241, GO:0030154, GO:0010033
GO:2000241, GO:0030154, GO:0051649
GO:2000241, GO:0010035, GO:0051649
GO:2000241, GO:0010033, GO:0051649
GO:0042391, GO:0045165, GO:0010035
GO:0042391, GO:0045165, GO:0010033
GO:0042391, GO:0045165, GO:0051649
GO:0042391, GO:0030154, GO:0010035
GO:0042391, GO:0030154, GO:0010033
GO:0042391, GO:0030154, GO:0051649
GO:0042391, GO:0010035, GO:0051649
GO:0042391, GO:0010033, GO:0051649
GO:0045165, GO:0010035, GO:0051649
GO:0045165, GO:0010033, GO:0051649
GO:0030154, GO:0010035, GO:0051649
GO:0030154, GO:0010033, GO:0051649
GO:0010468, GO:0031328, GO:0018205
GO:0010468, GO:0031328, GO:0051054
GO:0010468, GO:0018205, GO:0051054
GO:0031328, GO:0018205, GO:0051054
GO:0019752, GO:0044089, GO:0019216
GO:0019752, GO:0044089, GO:0050804
GO:0019752, GO:0019216, GO:0050804
GO:0044089, GO:0019216, GO:0050804
